id,name,description,manufacturer,price,category,structure
14,ДЕНТАЛСЕПТ гель 25г,Лекарства от стоматита,Алматы,1250,cosmetics,Unknown
15,АМИНОПЛАЗМАЛЬ ГЕПА 10% 500 мл №1 фл,"Внутривенные растворы, энтеральное питан",Unknown,4150,uncategorized,Unknown
16,МАСЛО ПЕРСИКОВОЕ 25 мл косметическое,Дерматологические средства,Unknown,420,uncategorized,Unknown
17,АРГОСУЛЬФАН 2% 40 г крем,Сульфатиазол серебра,Unknown,3250,uncategorized,Unknown
18,ДЕРМАЗИН 50 г,крем Сульфадиазин серебра,Unknown,1980,uncategorized,Unknown
19,ЛИНДАВИТ ЛАКТАЦИЯ №30,капсулы комплекс витаминов и минералов,Unknown,5000,uncategorized,Unknown
21,ГИДРОТЕН 5% 30 Г КРЕМ,Крем для наружного применения 5 %,Нобел Алматинская фармацевтическая фабрика АО (Казахстан),1530,drugs,Unknown
22,Репаркол гель-пена 5% 40мл REL1,Безрецептурный,"Репар-груп,Россия",5570,vitamins,Коллаген
24,Seni Lady Normal 20 шт. урологические пр,Цена товара на сайте может отличаться от,Нобел Алматинская фармацевтическая фабрика АО (Казахстан),2000,hygiene,Белгісіз
25,Вольтарен эмульгель гель наружн,2% 100г,GSK Consumer Healthcare S.A.,2920,cosmetics,диклофенака диэтиламин
26,Bella д/снятия макияжа Ватные,подушечки 120 шт,Не указан,730,cosmetics,Белгісіз
27,Seni Lady Normal 20 шт,рологические прокладки,2 000,2000,medtech,Белгісіз
